Date,Mkt-RF,SMB,HML,RMW,CMA,RF
198407,   -2.74,   -2.22,    0.36,    3.55,   -2.15,    0.82
198408,   10.28,   -0.26,   -1.82,   -0.68,   -0.92,    0.83
198409,   -0.80,   -0.03,    5.28,    1.37,    2.41,    0.86
198410,   -0.84,   -1.44,    0.45,    1.18,   -1.09,    1.00
198411,   -1.76,   -1.02,    4.06,    0.72,    2.06,    0.73
198412,    1.84,   -0.65,   -0.26,    1.31,   -1.36,    0.64
198501,    7.99,    3.51,   -5.35,   -0.89,   -3.41,    0.65
198502,    1.22,    1.04,   -0.10,    1.29,    1.06,    0.58
198503,   -0.84,   -1.39,    4.07,    1.23,    2.88,    0.62
198504,   -0.96,   -0.10,    3.72,    1.55,    0.71,    0.72
198505,    5.09,   -2.31,   -0.96,    1.33,   -1.49,    0.66
198506,    1.27,    0.35,    0.38,    1.76,   -0.77,    0.55
198507,   -0.74,    2.87,   -1.62,   -0.42,   -0.38,    0.62
198508,   -1.02,   -0.29,    2.32,   -0.10,    1.83,    0.55
198509,   -4.54,   -1.80,    1.29,    1.14,    1.64,    0.60
198510,    4.02,   -1.50,    0.75,    0.89,   -1.06,    0.65
198511,    6.48,    0.02,   -2.85,    0.33,   -2.32,    0.61
198512,    3.88,   -0.41,   -1.54,    0.99,   -1.80,    0.65
198601,    0.65,    1.01,    0.44,   -2.00,   -2.03,    0.56
198602,    7.13,   -0.71,   -0.72,    1.06,   -1.20,    0.53
198603,    4.88,   -0.66,   -0.39,    1.21,    0.92,    0.60
198604,   -1.31,    2.84,   -2.87,    2.91,    0.03,    0.52
198605,    4.62,   -1.29,   -0.21,    2.13,    1.08,    0.49
198606,    1.03,   -0.89,    1.28,    1.80,    0.87,    0.52
198607,   -6.45,   -3.46,    4.70,   -0.54,    0.84,    0.52
198608,    6.07,   -4.35,    3.51,   -1.66,    3.21,    0.46
198609,   -8.60,    2.05,    3.22,   -0.08,    3.71,    0.45
198610,    4.66,   -2.33,   -1.42,   -0.05,    1.00,    0.46
198611,    1.17,   -1.88,   -0.07,    1.09,    0.67,    0.39
198612,   -3.27,    0.12,    0.36,    0.79,    0.09,    0.49
198701,   12.47,   -1.54,   -3.16,    0.17,   -1.00,    0.42
198702,    4.39,    3.40,   -5.91,   -0.76,   -2.66,    0.43
198703,    1.64,    0.28,    1.61,    1.36,    4.14,    0.47
198704,   -2.11,   -1.54,   -0.39,   -0.49,    1.05,    0.44
198705,    0.11,   -0.56,    0.23,    0.51,    1.14,    0.38
198706,    3.94,   -2.21,    1.04,    1.70,    0.84,    0.48
198707,    3.85,   -1.14,    0.68,   -0.61,    1.61,    0.46
198708,    3.52,   -0.94,   -0.93,    2.04,   -1.61,    0.47
198709,   -2.59,    0.38,    0.27,   -0.97,    1.87,    0.45
198710,  -23.24,   -8.07,    4.24,    2.04,    2.34,    0.60
198711,   -7.77,    2.85,    2.95,   -1.88,    0.68,    0.35
198712,    6.81,    0.06,   -4.43,    2.96,   -2.42,    0.39
198801,    4.21,   -0.51,    5.01,   -1.14,    2.13,    0.29
198802,    4.75,    3.32,   -1.71,    1.56,   -0.01,    0.46
198803,   -2.27,    6.25,    0.73,   -0.25,    1.80,    0.44
198804,    0.56,    1.16,    1.67,   -0.20,    1.92,    0.46
198805,   -0.29,   -2.56,    2.42,   -0.74,    0.33,    0.51
198806,    4.79,    2.16,   -1.24,    1.47,   -3.37,    0.49
198807,   -1.25,   -0.21,    2.22,   -0.58,    1.52,    0.51
198808,   -3.31,   -0.03,    2.15,   -0.82,    1.76,    0.59
198809,    3.30,   -1.36,   -0.75,    1.76,   -0.61,    0.62
198810,    1.15,   -2.95,    2.05,    1.30,    1.03,    0.61
198811,   -2.29,   -1.65,    1.41,   -0.28,    1.62,    0.57
198812,    1.49,    2.01,   -1.69,    0.69,   -0.38,    0.63
198901,    6.10,   -2.31,    0.60,   -0.95,    0.14,    0.55
198902,   -2.25,    2.71,    1.01,   -0.87,    1.81,    0.61
198903,    1.57,    0.68,    0.58,    0.05,    0.72,    0.67
198904,    4.33,   -0.78,   -1.42,    0.71,   -0.57,    0.67
198905,    3.35,   -0.01,   -0.88,    0.49,   -0.08,    0.79
198906,   -1.35,   -1.09,    2.25,    0.27,    1.56,    0.71
198907,    7.20,   -4.15,   -2.79,    1.98,   -0.58,    0.70
198908,    1.44,    0.48,    0.60,    0.39,   -0.58,    0.74
198909,   -0.76,    0.49,   -1.27,    1.40,    0.50,    0.65
198910,   -3.67,   -3.30,   -1.11,    0.11,   -0.04,    0.68
198911,    1.03,   -1.29,   -1.09,   -0.86,    1.41,    0.69
198912,    1.16,   -2.27,    0.16,   -0.07,    1.42,    0.61
199001,   -7.85,   -1.31,    0.85,   -1.17,    1.35,    0.57
199002,    1.11,    1.17,    0.64,   -0.03,   -0.66,    0.57
199003,    1.83,    1.62,   -2.92,    2.04,   -1.02,    0.64
199004,   -3.36,   -0.33,   -2.59,    1.78,   -0.98,    0.69
199005,    8.42,   -2.35,   -3.83,    1.57,   -1.68,    0.68
199006,   -1.09,    1.35,   -1.93,   -1.03,   -0.39,    0.63
199007,   -1.90,   -3.16,   -0.03,   -0.18,    3.21,    0.68
199008,  -10.15,   -3.87,    1.64,   -0.35,    2.96,    0.66
199009,   -6.12,   -3.74,    0.64,    0.06,    3.67,    0.60
199010,   -1.92,   -5.12,    0.10,    2.97,   -0.30,    0.68
199011,    6.35,    0.07,   -3.10,    0.65,   -4.74,    0.57
199012,    2.46,    0.67,   -1.70,    2.73,   -1.89,    0.60
199101,    4.69,    3.91,   -1.60,    1.28,   -3.99,    0.52
199102,    7.19,    3.94,   -0.58,   -0.20,   -0.33,    0.48
199103,    2.65,    3.83,   -1.39,   -0.53,   -1.06,    0.44
199104,   -0.28,    0.31,    1.50,    0.62,    0.74,    0.53
199105,    3.65,    0.14,   -0.52,    2.00,   -2.43,    0.47
199106,   -4.94,    0.24,    1.15,    1.79,    0.65,    0.42
199107,    4.24,   -0.96,   -1.32,    1.60,   -1.36,    0.49
199108,    2.32,    1.40,   -0.78,    0.84,   -0.34,    0.46
199109,   -1.59,    1.56,   -1.08,   -1.82,    0.08,    0.46
199110,    1.29,    0.91,   -0.47,   -1.70,   -0.23,    0.42
199111,   -4.19,   -0.83,   -1.89,    1.11,    0.01,    0.39
199112,   10.84,   -2.40,   -4.17,    3.55,   -3.12,    0.38
199201,   -0.59,    9.18,    4.71,   -1.32,    3.20,    0.34
199202,    1.09,    1.33,    6.47,    0.08,    2.19,    0.28
199203,   -2.66,   -0.93,    3.56,   -0.01,    1.95,    0.34
199204,    1.07,   -5.70,    4.34,    1.69,    2.23,    0.32
199205,    0.30,    0.21,    1.19,   -0.95,    0.48,    0.28
199206,   -2.34,   -2.73,    3.24,   -0.05,    1.01,    0.32
199207,    3.77,   -0.62,   -0.56,    1.30,   -0.91,    0.31
199208,   -2.38,   -0.42,   -1.10,    3.72,   -1.65,    0.26
199209,    1.19,    0.48,   -0.26,    1.64,   -0.59,    0.26
199210,    1.02,    2.07,   -1.98,    1.24,   -0.79,    0.23
199211,    4.13,    3.94,   -1.35,   -0.68,   -1.59,    0.23
199212,    1.53,    1.68,    2.62,   -0.48,    0.84,    0.28
199301,    0.93,    1.93,    5.94,   -1.84,    2.91,    0.23
199302,    0.12,   -3.45,    6.42,   -0.42,    4.13,    0.22
199303,    2.30,    0.09,    1.18,   -0.15,    0.90,    0.25
199304,   -3.05,   -0.85,    2.49,   -3.61,    1.38,    0.24
199305,    2.89,    1.90,   -3.42,   -0.12,   -1.04,    0.22
199306,    0.31,    0.13,    2.75,   -0.92,    1.21,    0.25
199307,   -0.34,    0.95,    2.85,   -1.87,    2.06,    0.24
199308,    3.71,    0.10,    0.13,   -1.54,   -0.04,    0.25
199309,   -0.12,    2.98,   -0.31,    0.24,   -0.16,    0.26
199310,    1.41,    1.89,   -2.76,    0.57,    0.60,    0.22
199311,   -1.89,   -1.27,   -0.74,    2.23,   -0.94,    0.25
199312,    1.65,    1.40,    0.32,    1.16,   -0.34,    0.23
199401,    2.87,   -0.06,    1.15,   -1.66,    1.43,    0.25
199402,   -2.55,    2.67,   -1.54,    2.14,   -1.00,    0.21
199403,   -4.78,   -1.04,    1.60,    0.69,    1.28,    0.27
199404,    0.68,   -1.01,    1.66,    1.07,    1.11,    0.27
199405,    0.58,   -2.56,    0.67,    0.60,    0.68,    0.31
199406,   -3.03,   -0.50,    1.67,    1.21,    1.47,    0.31
199407,    2.82,   -1.85,    0.58,   -0.65,    0.14,    0.28
199408,    4.01,    1.37,   -2.51,    0.95,   -1.47,    0.37
199409,   -2.31,    2.80,   -1.89,    0.52,    0.93,    0.37
199410,    1.34,   -2.30,   -1.62,    0.23,   -0.68,    0.38
199411,   -4.04,    0.07,   -0.70,    0.42,   -0.50,    0.37
199412,    0.86,    0.00,   -0.13,    0.37,    0.38,    0.44
199501,    1.80,   -3.06,    2.57,    0.17,   -0.75,    0.42
199502,    3.63,   -0.54,    1.08,    0.59,   -0.33,    0.40
199503,    2.19,   -0.51,   -2.15,   -0.17,    0.22,    0.46
199504,    2.11,   -0.22,    1.71,    0.41,    0.90,    0.44
199505,    2.90,   -2.19,    2.29,    0.39,    0.04,    0.54
