Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193201,   5.5527,  -5.9907,   8.3063,  14.2165,   6.0887,  -0.3044,  -1.3482,   5.4795,  14.3969,  18.3762,   0.4872,   3.7308,   2.7428,  -1.6891,   5.5140,  -3.4174,  -0.3956,  -0.5579,   3.8507,   1.9409,  -3.6929,  -1.5137,   2.5942,  10.9191,   7.8947
193202, -12.7896,  -0.0154,   5.8810,  -1.9977,   3.4665,  -5.4119,   3.2908,  -2.3221,  -4.5816,  -1.1353,   0.5078,   3.2113,   2.3879,   0.2285,  -1.4858,   3.3679,   5.2088,  -1.3997,   1.2611,   3.7601,   7.2592,   5.6243,   3.3144,  -3.3170,  14.6341
193203, -23.0216,  -3.9056,  -3.2485, -11.5349, -11.8922,  -4.8922, -14.1355, -11.4193,  -4.3036, -13.2422,  -9.1849, -14.4244, -11.5530, -13.3842, -10.9956, -10.5899, -10.9531, -11.3353, -12.3945, -10.1478, -10.9710, -10.4864, -13.7685, -23.2023,   2.1277
193204, -40.7620, -16.8293, -25.8159, -19.4433, -18.0051, -19.9193,  -8.1414, -14.4050, -17.4530, -14.3736, -18.6450, -13.5659, -15.0516, -16.3965, -22.3498, -15.0637, -15.6276, -17.4525, -14.2341, -15.2035, -18.1767, -20.7489, -18.7549, -22.1641, -22.9167
193205, -12.8641, -35.2372,  -5.8922,  -5.1067, -10.2889, -11.9878, -21.7501, -22.0395, -17.3451, -20.4772, -26.9774, -23.5621, -26.9984, -24.0855, -26.4443, -20.5669, -20.1651, -18.1172, -18.5790, -27.9405, -20.4176, -16.9797, -31.1270, -36.7136, -10.8108
193206,  35.7939, -16.9948,   5.3018,  -5.9335,  -3.4124,  -8.6164,  -4.7937,  -5.1464,  11.2392,   6.5301,   8.0378,   4.5848,   7.2774,   5.2316,   0.9372,   1.6475,   3.4205,  -4.7307,   9.3777,   0.4792,  -3.1255,  -0.2860,   4.9866,   9.1629,  21.2121
193207, 147.8401,  14.3231,  39.3873,  38.2866,  54.5473,  37.5774,  27.6658,  41.8126,  51.9356,  69.5152,  27.4769,  30.3893,  39.6205,  55.0205,  68.8204,  30.7562,  33.7026,  35.9826,  68.8873,  80.0358,  26.5359,  37.2059,  50.2559,  56.9670,  98.0392
193208,  49.3739,  94.6241,  91.2211,  83.8394,  99.5503,  34.3849,  67.0166,  56.1689,  62.6508,  89.9724,  54.6595,  39.7036,  46.8716,  70.2610,  70.4852,  29.2301,  45.5890,  64.2649,  63.5623,  86.6040,  30.9221,  35.1841,  47.4496,  52.0435,  65.3465
193209, -27.1191, -11.0603, -17.6798,  -4.5548, -17.2166,  -0.7174,  -6.3692,  -5.5381,  -7.9104, -12.5966,  -5.2401,  -7.8092,  -2.7272, -11.9790,  -9.1765,   0.6576,  -5.1313,  -7.6634,  -6.9258,  -8.9044,   0.5101,  -6.4866,  -8.4468,  -2.8222,  15.5689
193210,  -9.1645, -13.1779, -27.4532, -20.3610, -19.6691, -12.4439, -21.9808, -17.3943, -24.8176, -22.5008, -14.7872, -15.8912, -21.3712, -23.5371, -25.7489, -11.0973, -18.0632, -18.9934, -20.3455, -25.6917, -11.3331,  -9.7990, -15.3346, -19.3893, -30.0518
193211, -26.5600, -13.2958,  -5.2455, -10.7934,  -7.2325,  -3.9727,  -7.5773,  -8.7885,  -7.9941, -17.4380,  -3.7696,  -1.1263,  -8.6184, -10.9389, -15.5085,   2.5040,  -5.2586,  -9.2887, -15.3017, -19.9830,  -3.2596,  -1.8593, -10.3618,  -8.4886, -31.1111
193212,   7.0207, -11.8895,  -8.8766, -12.6054, -16.4472, -18.7311, -16.2821,  -2.1227, -11.4732,  -7.5907,  -2.2114,   3.1720,   1.1864,  -6.2144,  -4.9894,   4.0020,  -0.1222,   1.8730,   0.5351,  -9.9337,   7.2393,   7.3672,   1.5565,  -7.5497,  15.0538
193301,  57.2754,  -0.9456,   4.0428,  -7.1322,   3.5519,   7.5440,   6.0150,   3.3129,   5.4286,   7.6263,   1.5120,   6.8342,   2.2288,   3.9093,  12.8206,   2.3969,   3.6629,   4.2268,   6.0007,  16.5315,  -0.3123,  -0.4417,   4.7568,   3.9118,  14.9533
193302, -44.6775, -18.8320, -19.6492, -14.5265, -15.7559, -26.7740, -26.6756, -19.9278, -20.3694, -21.0749, -16.5311, -17.6144, -18.4226, -19.5462, -19.8148, -13.3752, -16.3136, -13.5511, -12.4654, -22.9726, -14.6858, -17.2065, -15.2692, -17.5340, -24.3902
